Figure Number,Setting,Select Measure,Select Measure 2,Response category,Population,Value type,Reporting Period,Select Group,Value,Low 95% CI,High 95% CI,Reliability
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,Total,11719.3,10651,12787,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: Northeast,2922.5,2402,3443,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: Midwest,1625.7,1320,1932,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: South,3738.2,3113,4363,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: West,3432.8,2812,4054,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,10472.6,9437,11508,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participant,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,1246.7,985,1509,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,Total,3245.8,2906,3586,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: Northeast,986.6,788,1186,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: Midwest,341.9,279,405,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: South,1096.2,935,1257,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: West,821.1,606,1036,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2940.7,2606,3275,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Participant,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,305.1,243,367,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,Total,1552.3,1339,1766,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: Northeast,554.8,401,709,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: Midwest,149.3,105,193,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: South,503.8,417,590,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,US Census Region: West,344.5,233,456,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,1428.9,1219,1639,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Participant,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,123.4,83,164,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Total,5790.4,5338,6243,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Northeast,1030.9,822,1239,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Midwest,876.6,737,1016,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: South,1690.9,1486,1895,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: West,2192.0,1875,2509,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,5064.2,4631,5498,
1,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,726.2,595,858,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,Total,310.9,243,379,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Northeast,39.1,22,56,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Midwest,28.6,19,39,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: South,134.2,89,179,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: West,108.9,62,155,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,285.6,219,352,
1,Adult Day Services Center,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,25.3,15,36,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,Total,44.3,27,62,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Northeast,5.8,-1,12,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Midwest,5.6,1,10,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: South,15.1,7,24,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: West,17.9,5,31,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,40.2,24,57,
1,Adult Day Services Center,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,4.1,0,9,
2,Adult Day Services Center,COVID-19 Cases,n/a,Number,Participants,Number,January 2020-July 2021,Total,11719.3,10651,12787,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,Total,1203.2,1042,1365,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,Total,2310.6,1944,2678,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,Total,8205.4,7178,9233,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,Total,9347.1,8368,10326,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,Total,2287.7,1806,2769,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,Total,5924.6,5049,6800,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,Total,5638.7,4963,6314,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,Total,6152.1,5319,6986,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,Total,5476.8,4756,6198,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,Total,5574.9,4718,6432,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,Total,5093.1,4408,5778,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,US Census Region: Northeast,213.2,141,286,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,US Census Region: Northeast,336.4,238,435,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,US Census Region: Northeast,2372.9,1847,2899,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,US Census Region: Midwest,304.9,225,385,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,US Census Region: Midwest,503.7,305,703,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,US Census Region: Midwest,817.1,584,1050,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,US Census Region: South,427.3,337,517,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,US Census Region: South,845.8,617,1075,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,US Census Region: South,2465.2,1866,3064,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,US Census Region: West,257.8,178,338,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,US Census Region: West,624.7,443,806,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,US Census Region: West,2550.2,1945,3156,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,916.9,773,1061,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,1756.3,1461,2052,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,7799.4,6784,8815,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,286.2,214,359,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,554.4,336,772,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,406.1,248,564,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,US Census Region: Northeast,2719.5,2197,3242,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,US Census Region: Northeast,203.0,120,286,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,US Census Region: Midwest,1428.2,1133,1724,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,US Census Region: Midwest,196.0,101,292,
